ID,text,label
TXT00033,termasuk telah masuknya Ketua Umum Pengajian Ilmu Tasawuf Tarekat Naqsabandiyah Indonesia dalam keanggotaan JSI. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,Politik
TXT00034,"RT aku minoritas dan mengakui sempat gedeg dgn apa yg terjadi 2017 lalu.tapi setelah menyadari dan menganalisis bahwa DKI dibawa kepimpinan pak Anies tidak melibatkan kelompok Islam yg menjadi alat kampanye pak Anies, aku terbuka bahwa sebenarnya tidak se ekstrem itu. (cont..) https://t.co/qljN230zz8 [RE UGM_FESS]",Sosial Budaya
TXT00035,"@yUc3Oa/SCWk/PSado1EYd9qZGuJjohbGi4Ltqeph9RE= @rCVnNQ89G0zyF1JhlkTkSrEQ7+r6JREJho9sXkt5avY= @TiZZ1uH/xamTpVZfFPoqowaDDSETMvbVIl/OTw93wDs= Prabowo punya tanggung jawab masalah pertahanan negara, wajar aja orang pertanyakan kinerjanya sebagai menhan.",Pertahanan dan Keamanan
TXT00036,"RT Politics aside, this is how adults should treat children. Kneel so you meet their eye level. Show them equal respect. Kudos to pak Anies for having this kind of sensitivity to children. https://t.co/dkyFbpAoxV [RE margianta]",Sosial Budaya
TXT00037,"Prabowo-Gibran, kita berharap adil bagi ojol, ayo ikut dukung mereka! #OjolKuBerpihakPadamu #Janji02untukOjol Prabowo PenerimaHarapan https://t.co/8MkQGTGzVt",Politik
TXT00038,"RT #JejakAnies September 2019, Anies membawa 5.200 anakÃ‚Â² yatim piatu dan dhuafa liburan di Ragunan dan Dufan, Ancol. People as good as this, should not be allowed to lose and fight alone!!! ------ Ã°ÂŸÂ«Â¡Ã°ÂŸÂ«Â¡ https://t.co/ptAGkySy3O [RE PerempuanKujira]",Sosial Budaya
TXT00039,"RT Makan Malam Jokowi dan Prabowo, Respons Timnas AMIN dan Ganjar: Memang Sudah Berpihak https://t.co/RAXRPs5FKe #TempoNasional [RE tempodotco]",Politik
TXT00040,Gus Yahya dengan tindakan terang-terangan mengkhianati prinsip-prinsip dasar NU MasBOWOGBran PilihanKITA Asal Bukan Prabowo #MakinBanyakYg02 #KampanyeKreatif167 https://t.co/rM9rFBEsBD,Ideologi
TXT00041,"Kasus korupsi dan pencucian uang diselesaikan dengan tuntas oleh Ganjar-Mahfud, menunjukkan bahwa mereka bukan hanya pemimpin, tapi juga penegak keadilan @b/9KNELs6DmhArdN2gkWrVGZTn6+fbjGnAqhuYQgXOY= #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik https://t.co/qtxpyDDIPG",Politik
TXT00042,RT Anies Baswedan: Food Estate Telah Gagal dan Cuma Tanam Singkong https://t.co/8b7YxdsY4h [RE democrazymedia],Politik
TXT00043,"Bahaya ini, pak Ganjar pranowo sudah banyak membungkam orang-orang yang pernah mengkriti Ã°ÂŸÂÂ¤ k dirinya UbanBukanPakdeÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar https://t.co/367PpogkXS",Politik
TXT00044,"RT Ã¢Â€ÂœBecik ketitik, ala ketara.Ã¢Â€Â Ã¢Â€Â”Prabowo (2019) [RE ainunnajib]",Ideologi
TXT00045,"Diretas pun tak goyah, bukti berhasilnya Pak Mahufd menjaga kepercayaan publik @36Ep0CKndUj3e91YmzQjsC7c1CU12dK2QuC/VcnvDc4= #GituamatMainnya #GanjarMahfud2024 | Epic Ganjar Bersama Rakyat stop ekspor nikel Pak lurah PDIP Bu Hesti Papua Tidur #Coblos3 https://t.co/xorg7xxSQL https://t.co/3Hy95SrwW2",Politik
TXT00046,pak anies tolong ijinin shopee cina jualan lg,Sumber Daya Alam
TXT00047,"RT UU No 16 Tahun 2012 ttg Industri Pertahanan yg awalnya : 1) lead integrator produksi Alutsista adlh BUMN 2) pengadaan Alpahankam hrs beli produk dlm negeri-kalau impor hrs ada local content/offset. Sgb Tim penyusun, kecewa krn diubah oleh Pak Prabowo kembali menjadi ""liberal"" [RE msaid_didu]",Pertahanan dan Keamanan
TXT00048,"RT Anies pilih atasi stunting dengan ikan daripada susu karena Indonesia negara maritim potensi laut kita luar biasa, nelayan diberdayakan.. #NelayanPilihAMIN https://t.co/vi5an9Yz0B [RE ekowboy2]",Sumber Daya Alam
TXT00049,"RT Sebentar lagi, publik akan memberikan hukuman kepada mereka yang melanggar Citarasa budaya kita. Saya yakin itu akan menjadi keputusan dan bahkan memperkuat keputusan rakyat Indonesia untuk memilih Prabowo sebagai presiden! Aklamasi! [RE Fahrihamzah]",Politik
TXT00050,"RT Bak Idol Comeback, Anies Baswedan Bakal Dikirim Food Truck dari K-Popers di Acara Ini https://t.co/MCuf4kiAI6 [RE tvOneNews]",Pertahanan dan Keamanan
TXT00051,"RT Logikanya sederhana. Kalau Anies memang sejelek yg buzzer gaungkan, harusnya dia mana berani bikin forum terbuka buat dicecar pertanyaan2 tajam. Hal ini buktikan rekam jejaknya 100% bisa dipertanggung jawabkan. #IndustriKreatifAMIN Nakes Desak Anies #NakesDesakAnies https://t.co/M6jqaMgr9s [RE luckysubiakto]",Politik
TXT00052,"RT Anies Paling Layak Jadi Presiden, Ekonom Jebolan AS: Hasil Survei Bloomberg Tak Bisa Diremehkan https://t.co/andsjVoXos [RE keuangannews_id]",Politik
TXT00053,@gQ+QGmYJ209N7Py+H3gRyakQiic4NLEklTOIIuALnZA= @gqAL2HIcdWKR2U/VFUq3R0TFxXxtxCsKyUXAKn9R5o0= Iya nih penting suara Batak sebagai populasi etnis ketiga terbesar setelah Jawa Sunda. Mayoritas Batak Kristen cukup anti sama Anies karena diframing radikal sejak,Demografi
TXT00054,"RT Viral! Prihatin Dengan Kelangkaan Pupuk di Indonesia, Pengusaha Pendukung Anies Sumbangkan 500 Ton Pupuk ke Wilayah Jawa Timur. [RE abu_waras]",Sumber Daya Alam
TXT00055,Ganjar-Mahfud menunjukkan kepemimpinan yang cerdas dengan memprioritaskan perisai digital dalam menghadapi ancaman sib3r. @b4/qEjMroZRqoHq8Yu0mHs3l4PWMvPcVdV2HwiOLQ4M= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/yKy4wrNvYc,Pertahanan dan Keamanan
TXT00056,RT Deklarasi warga Ciamis mendukung pasangan AMIN Anies Baswedan - Muhaimin di Pilpres 2024.. Dukungan semakin kuat. Bismillah AMIN menang! #AMINAjaDulu #AniesMuhaimin2024 https://t.co/hUwreOATSB [RE Mdy_Asmara1701],Politik
TXT00057,"RT Kala presiden tak kunjung deklarasi bahwa dirinya adalah timses dari salah satu paslon, selama itulah kita kebingungan (sekadar contoh) kehadirannya bersama Prabowo bersama influencer ini sebagai presiden atau timses? https://t.co/xTZigFr69n [RE Stakof]",Politik
TXT00058,"RT Gini kok mau jadi presiden, bersalaman dengan kyai yang tidak pernah menyanjung dirinya aja Prabowo tidak mau, padahal kyai tersebut kyai NU. Beda kelas lah Prabowo sama Ganjar, Prabowo gagal urus food estate yang jadi program andalan Presiden Jokowi, sementara Ganjar sukses menjadikan Jawa Tengah sebagai lumbung padi nasional. Makin mantab pilih Ganjar Mahfud.Ã°ÂŸÂ¤ÂŸÃ°ÂŸÂÂ» #AsalBukanPrabowo [RE 03__nakula]",Politik
TXT00059,Ganjar Pranowo dan Mahfud MD adalah pasangan yang bisa mengubah atmosfer politik menjadi lebih positif Ganjar Mahfud Hebat #Coblos3 #3GM Memimpin Indonesia #GanjarMahfudM3nangDebat https://t.co/mEYcL3bHrt,Politik
TXT00060,"RT Alhamdulillah...baru tahu ada jejaknya dari orang tua Pak Anies di Papua....masya allah gak disangka disorong Papua, apalagi peletakan batu langsung dari darah syuhada palestina..nambah pengetahuan kita lagi https://t.co/1ZYT2dmNtH [RE Yurissa_Samosir]",Sosial Budaya
TXT00061,RT Pak Prabowo bilang pak Anies asal ngomong karena nafsu kekuasaan. Lahhhh yang nyapres sampe 3 kali dan sekarang masih menjabat siapa? Haji bolottt??? [RE qalsrama],Politik
TXT00062,"RT Alhamdulillah, Gelombang Perubahan kian Tak Terbendung Ã°ÂŸÂ™Â Lintas Exponen 98 Sumut Resmi Deklarasikan Dukungan ke Paslon AMIN Anies Baswedan - Muhaimin Iskandar #AMINAjaDulu #AniesMuhaimin2024 https://t.co/hEPEoBCmwD [RE Mdy_Asmara1701]",Politik
TXT00063,"RT Iyeth Bustami di hadapan masyarakat Melayu, tentang Anies Baswedan. https://t.co/lnzLTWxBdR [RE GeiszChalifah]",Politik
TXT00064,Ganjar Pranowo memberikan solusi cerdas melalui Garda Samud3ra untuk memastikan keamanan laut terjamin. @SnqvtfDvvRtes95e1rC6ZiobMRBP7fCdH8BTomOqDWk= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/E7t7NGuWrH,Pertahanan dan Keamanan
TXT00065,"RT Ning Atikoh Ganjar yg jg cucu Ulama Kharismatik Purbalingga, KH Hisyam Abdul Karim memilih sarapan bersama warga Jombang di akhir safari politiknya di Jatim, Senin (29/01/2024). Antusias warga pun tak terbendung Ã°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂÃ°ÂŸÂ¤ÂŸ #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/TWshy9UVpf [RE FirzaHusain]",Politik
TXT00066,"Dalam kampany3 akbar, Ganjar-Mahfud berkomitmen untuk menciptakan tatanan politik yang lebih bersih dan efisien @Ux6R8oPHSAPcwj5edBWbg8smcxXaW65gyDw+vNXW+Nk= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ofm7jKDAzf",Politik
TXT00067,"Pilih yang punya rencana buat rakyat, bukan yang cuma bisa bikin janji. Pasangan Calon No 3 Capres Ganjar Pranowo - Mahfud MD jawaban buat Indonesia! JNK JN19Yc #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/UM5UntyXOM",Politik
TXT00068,"RT Tulisan Imin ini, koreksi jika salah, adalah kolom kedua yang ditulis dari mereka yang berlaga di Pilpres 2024. Yang pertama adalah partnernya sendiri: Anies. Sejauh ini, Ganjar &amp; Mahfud belum kelihatan keluarkan gagasan via teks opini/kolom. Yang dua sisanya jangan diharepin. [RE muntahanpikiran]",Politik
TXT00069,@3x/UGdwS/f0kSZnEmnC1ftgaIUSYj6Ky/nypSQjFg5I= @dt8vVjYgB3H/nTqNIwNtgOsDqo+Wwu8IeaLDLeQy81Q= Benarlah apa yang dikatakan Anies. Negeri ini sdg di persimpangan jalan antara menjadi Negara Hukum atau Negara Kekuasaan. Negara hukum dimana kekuasaan diatur ole,Ideologi
TXT00070,RT Kata Anies Lebih Baik Naikkan Status Guru Honorer Ketimbang Bangun IKN https://t.co/tr9UyEJqnY #TempoNasional [RE tempodotco],Politik
TXT00071,"Pasangan Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK",Ekonomi
TXT00072,"RT Menagis saya dengar suara dan makna kalimat dari pak AniesÃ°ÂŸÂ˜Â­, ikhtiar itu lah yg slalu berpegang teguh kpda ALLAH apapun rencana trbaik.. insya ALLAH aniss pemimpin negri Indonesia.. AminÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ»Ã°ÂŸÂ¦Â‰ https://t.co/fGmlsMPYvv [RE CutSarina5]",Politik
TXT00073,Prabowo berkomitmen: Seluruh kekayaan Indonesia dijaga dan dikelola sebesar-besarnya untuk kemakmuran rakyat. dekade08 Prabowo - Gibran,Politik
TXT00074,"RT Wakil Ketua TPN Ganjar-Mahfud, Andika Perkasa buka suara terkait pengeroyokan oknum Anggota TNI terhadap simpatisan Ganjar-Mahfud. Andika menegaskan, tak ada salah Paham, justru korban langsung diserang ! https://t.co/3kkJtB90Xf [RE KakekHalal]",Pertahanan dan Keamanan
TXT00075,"@aJzRRJkr4YIqO9XSscvebsclrMTbI9WZMCL1dQ5tHpc= Saya orang Jateng, keluarga banyak yg masih dukung banteng tapi saya dukung Anies.....",Ekonomi
TXT00076,RT Pak @5hp3+w/1DcAOwI6MkOk1cflJQsrdh0RHUr4SKW17UEk= anda seharusnya minta maaf kepada pak Prabowo dan kepada publik. https://t.co/E7R6Pt0IBT [RE Uki23],Politik
TXT00077,"Pada kesempatan tersebut, mereka berdua mempersiapkan hidangan ayam teriyaki bersama dalam satu wajan besar. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto",Politik
TXT00078,Semangat berdiskusi Pak Ganjar mengarah pada solusi yang inklusif dan berkeadilan. Ganjar M3mberi Solusi #DialogGanjar https://t.co/7lU1jA3vDz,Politik
TXT00079,"RT TREN MENTION DI TIKTOK Paslon Anies-Cak Imin menempati posisi paling atas dalam trend jumlah mention (postingan) di TikTok. Diikuti oleh Prabowi-Gibran dan Ganjar-Mahfud MD. Pada tanggal 21-22 Januari 2024 terjadi peningkatan jumlah mention, karena event debat cawapres. https://t.co/Xh22ys9EkO [RE ismailfahmi]",Politik
TXT00080,"RT Sekelompok anak muda apatis, baru melek politik. Mereka memutuskan mendukung seseorang, melakukan iuran, menyewa videotron. Lalu videotron itu ditakedown karena bersebrangan dengan kekuasaan. Terima kasih jokowi, prabowo, gibran. Sekarang mereka sedang belajar caranya melawan ! https://t.co/GsxiOKRR4E [RE jubaedi_abed]",Politik
TXT00081,RT Konferensi pers Usai Debat Capres malam ini...pokoknya Pak Anies Malam ini Keren dan FULL COUNTER ATTACK tanpa Rasa Takut dan tak ada yg di sisa dari Segala Sisi Manapun....mantap Pak Anies Ã°ÂŸÂ‘Â https://t.co/MOSY9bDD9r [RE Yurissa_Samosir],Politik
TXT00082,RT Ã°ÂŸÂšÂˆ Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat persatuan dan keakraban keluarga ke d kepemimpinan nasional Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Uang Saku Posyandu [RE bsonjes],Politik
TXT00083,Erwin Aksa Ungkap Berbagai Hal Soal Citra Gemoy Prabowo Hingga Masa Depan Partai Golkar #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/Cy3TyoDP2y,Politik
